# KET QUA GIAI PHUONG TRINH SCHRODINGER PHU THUOC THOI GIAN

######################################################################################################################################################
# THAM SO DAU VAO
######################################################################################################################################################

# N_x        = 751
# N_t        = 10001
# x_min      = 0
# x_max      = 15
# t_min      = 0
# t_max      = 1
# dx         = 0.02
# dt         = 0.0001
# sigma_0    = 0.5
# k_0        = 8
# cach_deu_time = 200

######################################################################################################################################################

#              t               x          Re_psi          Im_psi           |psi|         |psi|^2
    0.000000e+00    4.220000e+00   -2.197529e-01    2.251458e-01    3.146140e-01    9.898195e-02
    0.000000e+00    4.240000e+00   -2.688790e-01    1.991573e-01    3.346035e-01    1.119595e-01
    0.000000e+00    4.260000e+00   -3.155503e-01    1.632852e-01    3.552943e-01    1.262340e-01
    0.000000e+00    4.280000e+00   -3.578331e-01    1.175977e-01    3.766613e-01    1.418737e-01
    0.000000e+00    4.300000e+00   -3.937391e-01    6.253958e-02    3.986749e-01    1.589417e-01
    0.000000e+00    4.320000e+00   -4.212992e-01   -1.045166e-03    4.213005e-01    1.774941e-01
    0.000000e+00    4.340000e+00   -4.386439e-01   -7.190510e-02    4.444984e-01    1.975788e-01
    0.000000e+00    4.360000e+00   -4.440879e-01   -1.483897e-01    4.682238e-01    2.192335e-01
    0.000000e+00    4.380000e+00   -4.362149e-01   -2.284754e-01    4.924271e-01    2.424844e-01
    0.000000e+00    4.400000e+00   -4.139591e-01   -3.098099e-01    5.170535e-01    2.673443e-01
    0.000000e+00    4.420000e+00   -3.766796e-01   -3.897739e-01    5.420436e-01    2.938112e-01
    0.000000e+00    4.440000e+00   -3.242228e-01   -4.655602e-01    5.673330e-01    3.218667e-01
    0.000000e+00    4.460000e+00   -2.569710e-01   -5.342663e-01    5.928530e-01    3.514746e-01
    0.000000e+00    4.480000e+00   -1.758715e-01   -5.930001e-01    6.185304e-01    3.825799e-01
    0.000000e+00    4.500000e+00   -8.244552e-02   -6.389916e-01    6.442884e-01    4.151075e-01
    0.000000e+00    4.520000e+00    2.122651e-02   -6.697097e-01    6.700460e-01    4.489617e-01
    0.000000e+00    4.540000e+00    1.325434e-01   -6.829771e-01    6.957194e-01    4.840255e-01
    0.000000e+00    4.560000e+00    2.484462e-01   -6.770783e-01    7.212216e-01    5.201606e-01
    0.000000e+00    4.580000e+00    3.655033e-01   -6.508569e-01    7.464633e-01    5.572074e-01
    0.000000e+00    4.600000e+00    4.800173e-01   -6.037956e-01    7.713532e-01    5.949858e-01
    0.000000e+00    4.620000e+00    5.881487e-01   -5.360754e-01    7.957988e-01    6.332957e-01
    0.000000e+00    4.640000e+00    6.860526e-01   -4.486097e-01    8.197065e-01    6.719188e-01
    0.000000e+00    4.660000e+00    7.700231e-01   -3.430512e-01    8.429827e-01    7.106198e-01
    0.000000e+00    4.680000e+00    8.366405e-01   -2.217689e-01    8.655338e-01    7.491487e-01
    0.000000e+00    4.700000e+00    8.829131e-01   -8.779480e-02    8.872674e-01    7.872434e-01
    0.000000e+00    4.720000e+00    9.064098e-01    5.525793e-02    9.080926e-01    8.246322e-01
    0.000000e+00    4.740000e+00    9.053753e-01    2.033040e-01    9.279208e-01    8.610370e-01
    0.000000e+00    4.760000e+00    8.788231e-01    3.519185e-01    9.466661e-01    8.961766e-01
    0.000000e+00    4.780000e+00    8.266015e-01    4.964879e-01    9.642460e-01    9.297703e-01
    0.000000e+00    4.800000e+00    7.494292e-01    6.323742e-01    9.805821e-01    9.615413e-01
    0.000000e+00    4.820000e+00    6.488969e-01    7.550853e-01    9.956008e-01    9.912210e-01
    0.000000e+00    4.840000e+00    5.274344e-01    8.604447e-01    1.009233e+00    1.018552e+00
    0.000000e+00    4.860000e+00    3.882442e-01    9.447537e-01    1.021417e+00    1.043293e+00
    0.000000e+00    4.880000e+00    2.352023e-01    1.004938e+00    1.032095e+00    1.065221e+00
    0.000000e+00    4.900000e+00    7.273037e-02    1.038675e+00    1.041218e+00    1.084135e+00
    0.000000e+00    4.920000e+00   -9.435530e-02    1.044489e+00    1.048742e+00    1.099859e+00
    0.000000e+00    4.940000e+00   -2.610138e-01    1.021821e+00    1.054631e+00    1.112247e+00
    0.000000e+00    4.960000e+00   -4.221599e-01    9.710621e-01    1.058858e+00    1.121181e+00
    0.000000e+00    4.980000e+00   -5.728488e-01    8.935432e-01    1.061402e+00    1.126575e+00
    0.000000e+00    5.000000e+00   -7.084562e-01    7.914979e-01    1.062252e+00    1.128379e+00
    0.000000e+00    5.020000e+00   -8.248472e-01    6.679837e-01    1.061402e+00    1.126575e+00
    0.000000e+00    5.040000e+00   -9.185265e-01    5.267728e-01    1.058858e+00    1.121181e+00
    0.000000e+00    5.060000e+00   -9.867640e-01    3.722147e-01    1.054631e+00    1.112247e+00
    0.000000e+00    5.080000e+00   -1.027690e+00    2.090769e-01    1.048742e+00    1.099859e+00
    0.000000e+00    5.100000e+00   -1.040355e+00    4.237055e-02    1.041218e+00    1.084135e+00
    0.000000e+00    5.120000e+00   -1.024760e+00   -1.228325e-01    1.032095e+00    1.065221e+00
    0.000000e+00    5.140000e+00   -9.818372e-01   -2.815828e-01    1.021417e+00    1.043293e+00
