# Giai phuong trinh vi phan
######################################################################
#     i             x         theta         omega
    285   2.850000000   0.178850712   2.508295556
    286   2.860000000   0.203933668   2.479209112
    287   2.870000000   0.228725759   2.446096595
    288   2.880000000   0.253186725   2.409025152
    289   2.890000000   0.277276977   2.368069979
    290   2.900000000   0.300957676   2.323313873
    291   2.910000000   0.324190815   2.274846755
    292   2.920000000   0.346939283   2.222765161
    293   2.930000000   0.369166934   2.167171720
    294   2.940000000   0.390838651   2.108174606
    295   2.950000000   0.411920398   2.045886999
    296   2.960000000   0.432379268   1.980426532
    297   2.970000000   0.452183533   1.911914752
    298   2.980000000   0.471302680   1.840476590
    299   2.990000000   0.489707446   1.766239852
    300   3.000000000   0.507369845   1.689334727
    301   3.010000000   0.524263192   1.609893329
    302   3.020000000   0.540362125   1.528049269
    303   3.030000000   0.555642618   1.443937257
    304   3.040000000   0.570081991   1.357692748
    305   3.050000000   0.583658918   1.269451622
    306   3.060000000   0.596353434   1.179349910
    307   3.070000000   0.608146933   1.087523554
    308   3.080000000   0.619022169   0.994108219
    309   3.090000000   0.628963251   0.899239135
    310   3.100000000   0.637955642   0.803050986
    311   3.110000000   0.645986152   0.705677838
    312   3.120000000   0.653042931   0.607253098
    313   3.130000000   0.659115462   0.507909512
    314   3.140000000   0.664194557   0.407779196
    315   3.150000000   0.668272349   0.306993690
    316   3.160000000   0.671342286   0.205684039
    317   3.170000000   0.673399126   0.103980901
    318   3.180000000   0.674438935   0.002014665
    319   3.190000000   0.674459082  -0.100084412
    320   3.200000000   0.673458238  -0.202186063
    321   3.210000000   0.671436377  -0.304159854
    322   3.220000000   0.668394778  -0.405875036
    323   3.230000000   0.664336028  -0.507200398
    324   3.240000000   0.659264024  -0.608004116
    325   3.250000000   0.653183983  -0.708153633
    326   3.260000000   0.646102447  -0.807515534
    327   3.270000000   0.638027291  -0.905955457
    328   3.280000000   0.628967737  -1.003338016
    329   3.290000000   0.618934357  -1.099526757
    330   3.300000000   0.607939089  -1.194384148
    331   3.310000000   0.595995247  -1.287771591
    332   3.320000000   0.583117532  -1.379549486
    333   3.330000000   0.569322037  -1.469577322
