# Giai phuong trinh vi phan
######################################################################
#      i             x         theta         omega
    558   5.580000000  -0.440350011   1.145446296
    559   5.590000000  -0.428538732   1.216487629
    560   5.600000000  -0.416026888   1.285540276
    561   5.610000000  -0.402834933   1.352491350
    562   5.620000000  -0.388984432   1.417231403
    563   5.630000000  -0.374498029   1.479654598
    564   5.640000000  -0.359399405   1.539658888
    565   5.650000000  -0.343713242   1.597146178
    566   5.660000000  -0.327465185   1.652022491
    567   5.670000000  -0.310681796   1.704198114
    568   5.680000000  -0.293390511   1.753587754
    569   5.690000000  -0.275619598   1.800110668
    570   5.700000000  -0.257398108   1.843690802
    571   5.710000000  -0.238755830   1.884256913
    572   5.720000000  -0.219723239   1.921742684
    573   5.730000000  -0.200331450   1.956086833
    574   5.740000000  -0.180612163   1.987233217
    575   5.750000000  -0.160597616   2.015130916
    576   5.760000000  -0.140320527   2.039734326
    577   5.770000000  -0.119814046   2.061003225
    578   5.780000000  -0.099111695   2.078902843
    579   5.790000000  -0.078247319   2.093403918
    580   5.800000000  -0.057255026   2.104482744
    581   5.810000000  -0.036169134   2.112121209
    582   5.820000000  -0.015024113   2.116306827
    583   5.830000000   0.006145469   2.117032755
    584   5.840000000   0.027305005   2.114297806
    585   5.850000000   0.048419902   2.108106452
    586   5.860000000   0.069455644   2.098468813
    587   5.870000000   0.090377842   2.085400645
    588   5.880000000   0.111152292   2.068923312
    589   5.890000000   0.131745033   2.049063750
    590   5.900000000   0.152122399   2.025854425
    591   5.910000000   0.172251080   1.999333280
    592   5.920000000   0.192098169   1.969543671
    593   5.930000000   0.211631220   1.936534296
    594   5.940000000   0.230818300   1.900359120
    595   5.950000000   0.249628045   1.861077280
    596   5.960000000   0.268029703   1.818752993
    597   5.970000000   0.285993193   1.773455450
    598   5.980000000   0.303489147   1.725258703
    599   5.990000000   0.320488964   1.674241542
    600   6.000000000   0.336964853   1.620487370
    601   6.010000000   0.352889880   1.564084061
    602   6.020000000   0.368238010   1.505123824
    603   6.030000000   0.382984153   1.443703045
    604   6.040000000   0.397104203   1.379922132
    605   6.050000000   0.410575075   1.313885355
    606   6.060000000   0.423374749   1.245700668
    607   6.070000000   0.435482300   1.175479538
    608   6.080000000   0.446877933   1.103336761
    609   6.090000000   0.457543022   1.029390274
    610   6.100000000   0.467460129   0.953760963
    611   6.110000000   0.476613043   0.876572466
    612   6.120000000   0.484986801   0.797950968
    613   6.130000000   0.492567713   0.718024998
    614   6.140000000   0.499343387   0.636925217
    615   6.150000000   0.505302746   0.554784206
    616   6.160000000   0.510436048   0.471736245
    617   6.170000000   0.514734900   0.387917102
    618   6.180000000   0.518192276   0.303463800
    619   6.190000000   0.520802522   0.218514402
    620   6.200000000   0.522561373   0.133207782
    621   6.210000000   0.523465952   0.047683397
    622   6.220000000   0.523514781  -0.037918939
    623   6.230000000   0.522707780  -0.123459287
    624   6.240000000   0.521046268  -0.208797806
    625   6.250000000   0.518532962  -0.293794987
    626   6.260000000   0.515171969  -0.378311879
    627   6.270000000   0.510968786  -0.462210316
    628   6.280000000   0.505930282  -0.545353141
    629   6.290000000   0.500064695  -0.627604436
