# Giai phuong trinh vi phan
######################################################################
#     i             x         theta         omega
    539   5.390000000  -0.795608741  -0.680574210
    540   5.400000000  -0.802414483  -0.550492181
    541   5.410000000  -0.807919405  -0.419297413
    542   5.420000000  -0.812112379  -0.287202591
    543   5.430000000  -0.814984405  -0.154422217
    544   5.440000000  -0.816528627  -0.021172267
    545   5.450000000  -0.816740350   0.112330164
    546   5.460000000  -0.815617048   0.245867211
    547   5.470000000  -0.813158376   0.379220598
    548   5.480000000  -0.809366170   0.512171993
    549   5.490000000  -0.804244450   0.644503362
    550   5.500000000  -0.797799416   0.775997329
    551   5.510000000  -0.790039443   0.906437534
    552   5.520000000  -0.780975068   1.035608983
    553   5.530000000  -0.770618978   1.163298406
    554   5.540000000  -0.758985994   1.289294609
    555   5.550000000  -0.746093048   1.413388819
    556   5.560000000  -0.731959159   1.535375032
    557   5.570000000  -0.716605409   1.655050355
    558   5.580000000  -0.700054906   1.772215339
    559   5.590000000  -0.682332752   1.886674316
    560   5.600000000  -0.663466009   1.998235721
    561   5.610000000  -0.643483652   2.106712414
    562   5.620000000  -0.622416528   2.211921991
    563   5.630000000  -0.600297308   2.313687093
    564   5.640000000  -0.577160437   2.411835703
    565   5.650000000  -0.553042080   2.506201434
    566   5.660000000  -0.527980065   2.596623814
    567   5.670000000  -0.502013827   2.682948555
    568   5.680000000  -0.475184342   2.765027816
    569   5.690000000  -0.447534064   2.842720456
    570   5.700000000  -0.419106859   2.915892275
    571   5.710000000  -0.389947936   2.984416247
    572   5.720000000  -0.360103774   3.048172734
    573   5.730000000  -0.329622046   3.107049701
    574   5.740000000  -0.298551549   3.160942906
    575   5.750000000  -0.266942120   3.209756084
    576   5.760000000  -0.234844560   3.253401121
    577   5.770000000  -0.202310548   3.291798206
    578   5.780000000  -0.169392566   3.324875981
    579   5.790000000  -0.136143807   3.352571666
    580   5.800000000  -0.102618090   3.374831178
    581   5.810000000  -0.068869778   3.391609236
    582   5.820000000  -0.034953686   3.402869444
    583   5.830000000  -0.000924991   3.408584372
    584   5.840000000   0.033160852   3.408735608
    585   5.850000000   0.067248209   3.403313809
    586   5.860000000   0.101281347   3.392318726
    587   5.870000000   0.135204534   3.375759226
    588   5.880000000   0.168962126   3.353653285
    589   5.890000000   0.202498659   3.326027977
    590   5.900000000   0.235758939   3.292919447
    591   5.910000000   0.268688133   3.254372860
    592   5.920000000   0.301231862   3.210442350
    593   5.930000000   0.333336285   3.161190941
    594   5.940000000   0.364948195   3.106690458
