# Giai phuong trinh vi phan
######################################################################
#     i             x         theta         omega
    343   3.430000000   0.253035010  -1.827727423
    344   3.440000000   0.234553080  -1.867208654
    345   3.450000000   0.215690999  -1.903719544
    346   3.460000000   0.196478840  -1.937188909
    347   3.470000000   0.176947361  -1.967550831
    348   3.480000000   0.157127952  -1.994744947
    349   3.490000000   0.137052579  -2.018716732
    350   3.500000000   0.116753721  -2.039417754
    351   3.510000000   0.096264314  -2.056805908
    352   3.520000000   0.075617680  -2.070845628
    353   3.530000000   0.054847466  -2.081508058
    354   3.540000000   0.033987570  -2.088771201
    355   3.550000000   0.013072078  -2.092620033
    356   3.560000000  -0.007864808  -2.093046577
    357   3.570000000  -0.028788845  -2.090049947
    358   3.580000000  -0.049665812  -2.083636351
    359   3.590000000  -0.070461591  -2.073819061
    360   3.600000000  -0.091142227  -2.060618340
    361   3.610000000  -0.111674004  -2.044061343
    362   3.620000000  -0.132023514  -2.024181978
    363   3.630000000  -0.152157718  -2.001020735
    364   3.640000000  -0.172044016  -1.974624486
    365   3.650000000  -0.191650307  -1.945046259
    366   3.660000000  -0.210945053  -1.912344983
    367   3.670000000  -0.229897332  -1.876585218
    368   3.680000000  -0.248476894  -1.837836859
    369   3.690000000  -0.266654216  -1.796174833
    370   3.700000000  -0.284400549  -1.751678776
    371   3.710000000  -0.301687961  -1.704432713
    372   3.720000000  -0.318489382  -1.654524722
    373   3.730000000  -0.334778644  -1.602046606
    374   3.740000000  -0.350530512  -1.547093563
    375   3.750000000  -0.365720721  -1.489763866
    376   3.760000000  -0.380326004  -1.430158544
    377   3.770000000  -0.394324114  -1.368381080
    378   3.780000000  -0.407693854  -1.304537124
    379   3.790000000  -0.420415092  -1.238734213
    380   3.800000000  -0.432468780  -1.171081517
    381   3.810000000  -0.443836970  -1.101689599
    382   3.820000000  -0.454502825  -1.030670197
    383   3.830000000  -0.464450632  -0.958136021
    384   3.840000000  -0.473665808  -0.884200578
    385   3.850000000  -0.482134910  -0.808978013
    386   3.860000000  -0.489845638  -0.732582973
    387   3.870000000  -0.496786843  -0.655130486
    388   3.880000000  -0.502948525  -0.576735864
    389   3.890000000  -0.508321839  -0.497514623
    390   3.900000000  -0.512899098  -0.417582419
    391   3.910000000  -0.516673771  -0.337054995
    392   3.920000000  -0.519640483  -0.256048149
    393   3.930000000  -0.521795020  -0.174677708
    394   3.940000000  -0.523134325  -0.093059509
    395   3.950000000  -0.523656499  -0.011309398
    396   3.960000000  -0.523360802   0.070456781
    397   3.970000000  -0.522247653   0.152123184
    398   3.980000000  -0.520318628   0.233573967
    399   3.990000000  -0.517576463   0.314693287
    400   4.000000000  -0.514025051   0.395365314
    401   4.010000000  -0.509669444   0.475474238
    402   4.020000000  -0.504515853   0.554904297
    403   4.030000000  -0.498571644   0.633539806
    404   4.040000000  -0.491845341   0.711265202
    405   4.050000000  -0.484346622   0.787965108
    406   4.060000000  -0.476086318   0.863524406
    407   4.070000000  -0.467076410   0.937828330
    408   4.080000000  -0.457330025   1.010762582
    409   4.090000000  -0.446861428   1.082213461
    410   4.100000000  -0.435686021   1.152068015
    411   4.110000000  -0.423820330   1.220214215
    412   4.120000000  -0.411281994   1.286541150
    413   4.130000000  -0.398089759   1.350939236
    414   4.140000000  -0.384263456   1.413300456
    415   4.150000000  -0.369823990   1.473518606
    416   4.160000000  -0.354793317   1.531489571
    417   4.170000000  -0.339194425   1.587111608
    418   4.180000000  -0.323051304   1.640285646
    419   4.190000000  -0.306388923   1.690915598
    420   4.200000000  -0.289233194   1.738908683
    421   4.210000000  -0.271610942   1.784175754
    422   4.220000000  -0.253549863   1.826631625
    423   4.230000000  -0.235078483   1.866195406
    424   4.240000000  -0.216226118   1.902790830
    425   4.250000000  -0.197022819   1.936346570
    426   4.260000000  -0.177499327   1.966796554
    427   4.270000000  -0.157687016   1.994080260
    428   4.280000000  -0.137617838   2.018142994
    429   4.290000000  -0.117324261   2.038936150
    430   4.300000000  -0.096839206   2.056417443
    431   4.310000000  -0.076195990   2.070551120
    432   4.320000000  -0.055428248   2.081308135
    433   4.330000000  -0.034569878   2.088666299
    434   4.340000000  -0.013654959   2.092610392
    435   4.350000000   0.007282307   2.093132239
    436   4.360000000   0.028207676   2.090230758
    437   4.370000000   0.049086927   2.083911959
    438   4.380000000   0.069885934   2.074188917
    439   4.390000000   0.090570738   2.061081704
    440   4.400000000   0.111107615   2.044617287
    441   4.410000000   0.131463144   2.024829387
    442   4.420000000   0.151604276   2.001758317
    443   4.430000000   0.171498397   1.975450774
    444   4.440000000   0.191113391   1.945959620
    445   4.450000000   0.210417701   1.913343626
    446   4.460000000   0.229380388   1.877667202
    447   4.470000000   0.247971181   1.839000099
    448   4.480000000   0.266160537   1.797417112
    449   4.490000000   0.283919682   1.752997753
    450   4.500000000   0.301220661   1.705825930
    451   4.510000000   0.318036379   1.655989617
    452   4.520000000   0.334340641   1.603580519
    453   4.530000000   0.350108187   1.548693749
    454   4.540000000   0.365314722   1.491427499
    455   4.550000000   0.379936951   1.431882729
    456   4.560000000   0.393952599   1.370162862
    457   4.570000000   0.407340437   1.306373492
    458   4.580000000   0.420080304   1.240622110
    459   4.590000000   0.432153121   1.173017848
    460   4.600000000   0.443540908   1.103671235
    461   4.610000000   0.454226798   1.032693980
    462   4.620000000   0.464195046   0.960198773
    463   4.630000000   0.473431036   0.886299103
    464   4.640000000   0.481921294   0.811109102
    465   4.650000000   0.489653488   0.734743405
    466   4.660000000   0.496616435   0.657317034
    467   4.670000000   0.502800105   0.578945298
    468   4.680000000   0.508195620   0.499743708
    469   4.690000000   0.512795261   0.419827919
    470   4.700000000   0.516592462   0.339313675
    471   4.710000000   0.519581819   0.258316775
    472   4.720000000   0.521759084   0.176953045
    473   4.730000000   0.523121168   0.095338327
    474   4.740000000   0.523666139   0.013588466
    475   4.750000000   0.523393226  -0.068180691
    476   4.760000000   0.522302815  -0.149853299
    477   4.770000000   0.520396450  -0.231313511
    478   4.780000000   0.517676834  -0.312445484
    479   4.790000000   0.514147829  -0.393133384
    480   4.800000000   0.509814454  -0.473261400
    481   4.810000000   0.504682887  -0.552713764
    482   4.820000000   0.498760464  -0.631374788
    483   4.830000000   0.492055675  -0.709128903
    484   4.840000000   0.484578168  -0.785860723
    485   4.850000000   0.476338740  -0.861455119
    486   4.860000000   0.467349342  -0.935797314
    487   4.870000000   0.457623068  -1.008772990
    488   4.880000000   0.447174152  -1.080268427
    489   4.890000000   0.436017965  -1.150170647
    490   4.900000000   0.424171001  -1.218367590
    491   4.910000000   0.411650871  -1.284748307
    492   4.920000000   0.398476287  -1.349203175
    493   4.930000000   0.384667054  -1.411624123
    494   4.940000000   0.370244045  -1.471904894
    495   4.950000000   0.355229190  -1.529941306
    496   4.960000000   0.339645446  -1.585631543
    497   4.970000000   0.323516778  -1.638876453
    498   4.980000000   0.306868128  -1.689579859
    499   4.990000000   0.289725383  -1.737648881
    500   5.000000000   0.272115344  -1.782994262
    501   5.010000000   0.254065682  -1.825530700
    502   5.020000000   0.235604903  -1.865177177
    503   5.030000000   0.216762302  -1.901857291
    504   5.040000000   0.197567910  -1.935499570
    505   5.050000000   0.178052451  -1.966037791
    506   5.060000000   0.158247283  -1.993411268
    507   5.070000000   0.138184343  -2.017565142
    508   5.080000000   0.117896085  -2.038450630
    509   5.090000000   0.097415422  -2.056025267
    510   5.100000000   0.076775658  -2.070253115
    511   5.110000000   0.056010424  -2.081104937
    512   5.120000000   0.035153610  -2.088558350
    513   5.130000000   0.014239294  -2.092597938
    514   5.140000000  -0.006698325  -2.093215328
    515   5.150000000  -0.027625003  -2.090409240
    516   5.160000000  -0.048506514  -2.084185487
    517   5.170000000  -0.069308731  -2.074556948
    518   5.180000000  -0.089997686  -2.061543502
    519   5.190000000  -0.110539647  -2.045171925
    520   5.200000000  -0.130901184  -2.025475754
    521   5.210000000  -0.151049235  -2.002495121
    522   5.220000000  -0.170951173  -1.976276551
    523   5.230000000  -0.190574865  -1.946872738
    524   5.240000000  -0.209888739  -1.914342294
    525   5.250000000  -0.228861835  -1.878749476
    526   5.260000000  -0.247463864  -1.840163896
    527   5.270000000  -0.265665260  -1.798660211
    528   5.280000000  -0.283437226  -1.754317811
    529   5.290000000  -0.300751784  -1.707220487
    530   5.300000000  -0.317581815  -1.657456106
    531   5.310000000  -0.333901095  -1.605116278
    532   5.320000000  -0.349684337  -1.550296027
    533   5.330000000  -0.364907221  -1.493093466
    534   5.340000000  -0.379546420  -1.433609486
    535   5.350000000  -0.393579632  -1.371947445
    536   5.360000000  -0.406985598  -1.308212886
    537   5.370000000  -0.419744125  -1.242513252
    538   5.380000000  -0.431836105  -1.174957635
    539   5.390000000  -0.443243525  -1.105656531
    540   5.400000000  -0.453949488  -1.034721622
    541   5.410000000  -0.463938215  -0.962265575
    542   5.420000000  -0.473195061  -0.888401861
    543   5.430000000  -0.481706519  -0.813244598
    544   5.440000000  -0.489460223  -0.736908413
    545   5.450000000  -0.496444960  -0.659508318
    546   5.460000000  -0.502650666  -0.581159618
    547   5.470000000  -0.508068431  -0.501977823
    548   5.480000000  -0.512690504  -0.422078586
    549   5.490000000  -0.516510286  -0.341577650
    550   5.500000000  -0.519522342  -0.260590815
    551   5.510000000  -0.521722389  -0.179233909
    552   5.520000000  -0.523107307  -0.097622775
    553   5.530000000  -0.523675133  -0.015873259
    554   5.540000000  -0.523425062   0.065898789
    555   5.550000000  -0.522357447   0.147577522
    556   5.560000000  -0.520473801   0.229047093
    557   5.570000000  -0.517776794   0.310191655
    558   5.580000000  -0.514270256   0.390895373
    559   5.590000000  -0.509959175   0.471042433
    560   5.600000000  -0.504849695   0.550517064
    561   5.610000000  -0.498949119   0.629203572
    562   5.620000000  -0.492265907   0.706986383
    563   5.630000000  -0.484809673   0.783750103
    564   5.640000000  -0.476591184   0.859379592
    565   5.650000000  -0.467622358   0.933760059
    566   5.660000000  -0.457916257   1.006777172
    567   5.670000000  -0.447487085   1.078317186
    568   5.680000000  -0.436350179   1.148267099
    569   5.690000000  -0.424522005   1.216514822
    570   5.700000000  -0.412020140   1.282949368
    571   5.710000000  -0.398863270   1.347461071
    572   5.720000000  -0.385071166   1.409941812
    573   5.730000000  -0.370664674   1.470285275
    574   5.740000000  -0.355665694   1.528387215
    575   5.750000000  -0.340097157   1.584145743
    576   5.760000000  -0.323982999   1.637461626
    577   5.770000000  -0.307348135   1.688238595
    578   5.780000000  -0.290218429   1.736383672
    579   5.790000000  -0.272620656   1.781807491
    580   5.800000000  -0.254582464   1.824424632
    581   5.810000000  -0.236132337   1.864153952
    582   5.820000000  -0.217299548   1.900918911
    583   5.830000000  -0.198114112   1.934647893
    584   5.840000000  -0.178606732   1.965274522
    585   5.850000000  -0.158808751   1.992737953
    586   5.860000000  -0.138752090   2.016983156
    587   5.870000000  -0.118469192   2.037961175
    588   5.880000000  -0.097992958   2.055629363
    589   5.890000000  -0.077356683   2.069951595
    590   5.900000000  -0.056593992   2.080898445
    591   5.910000000  -0.035738766   2.088447334
    592   5.920000000  -0.014825083   2.092582650
    593   5.930000000   0.006112863   2.093295823
    594   5.940000000   0.027040824   2.090585374
    595   5.950000000   0.047924575   2.084456916
    596   5.960000000   0.068729980   2.074923135
    597   5.970000000   0.089423069   2.062003713
