# Nghiem giai tich cho phuong trinh truyen nhiet 1D
#
#    j (t)    i (x)               t               x               u           |err|
         2        6    1.200200e+01    6.060606e-02    8.166997e+01    8.543751e-02
         2        7    1.200200e+01    7.070707e-02    8.794428e+01    4.884625e-02
         2        8    1.200200e+01    8.080808e-02    9.239726e+01    1.461756e-01
         2        9    1.200200e+01    9.090909e-02    9.540653e+01    1.966604e-01
         2       10    1.200200e+01    1.010101e-01    9.734295e+01    2.049773e-01
         2       11    1.200200e+01    1.111111e-01    9.852943e+01    1.839496e-01
         2       12    1.200200e+01    1.212121e-01    9.922166e+01    1.481085e-01
         2       13    1.200200e+01    1.313131e-01    9.960622e+01    1.092778e-01
         2       14    1.200200e+01    1.414141e-01    9.980964e+01    7.484181e-02
         2       15    1.200200e+01    1.515152e-01    9.991211e+01    4.799517e-02
         2       16    1.200200e+01    1.616162e-01    9.996125e+01    2.900690e-02
         2       17    1.200200e+01    1.717172e-01    9.998369e+01    1.659894e-02
         2       18    1.200200e+01    1.818182e-01    9.999345e+01    9.037782e-03
         2       19    1.200200e+01    1.919192e-01    9.999749e+01    4.698492e-03
         2       20    1.200200e+01    2.020202e-01    9.999908e+01    2.341581e-03
         2       21    1.200200e+01    2.121212e-01    9.999968e+01    1.119642e-03
         2       22    1.200200e+01    2.222222e-01    9.999989e+01    5.134254e-04
         2       23    1.200200e+01    2.323232e-01    9.999997e+01    2.261904e-04
         2       24    1.200200e+01    2.424242e-01    9.999999e+01    9.977318e-05
         2       25    1.200200e+01    2.525253e-01    1.000000e+02    3.705080e-05
         2       26    1.200200e+01    2.626263e-01    1.000000e+02    1.918922e-05
         2       27    1.200200e+01    2.727273e-01    1.000000e+02    9.787536e-06
         2       28    1.200200e+01    2.828283e-01    1.000000e+02    5.306688e-08
         2       29    1.200200e+01    2.929293e-01    1.000000e+02    1.263238e-08
         2       30    1.200200e+01    3.030303e-01    1.000000e+02    2.865789e-09
         2       31    1.200200e+01    3.131313e-01    1.000000e+02    6.195222e-10
         2       32    1.200200e+01    3.232323e-01    1.000000e+02    1.276277e-10
         2       33    1.200200e+01    3.333333e-01    1.000000e+02    2.505374e-11
         2       34    1.200200e+01    3.434343e-01    1.000000e+02    4.661160e-12
         2       35    1.200200e+01    3.535354e-01    1.000000e+02    8.384404e-13
         2       36    1.200200e+01    3.636364e-01    1.000000e+02    1.136868e-13
         2       37    1.200200e+01    3.737374e-01    1.000000e+02    1.421085e-14
         2       38    1.200200e+01    3.838384e-01    1.000000e+02    1.421085e-14
         2       39    1.200200e+01    3.939394e-01    1.000000e+02    0.000000e+00
         2       40    1.200200e+01    4.040404e-01    1.000000e+02    0.000000e+00
         2       41    1.200200e+01    4.141414e-01    1.000000e+02    1.421085e-14
         2       42    1.200200e+01    4.242424e-01    1.000000e+02    0.000000e+00
         2       43    1.200200e+01    4.343434e-01    1.000000e+02    1.421085e-14
         2       44    1.200200e+01    4.444444e-01    1.000000e+02    4.263256e-14
         2       45    1.200200e+01    4.545455e-01    1.000000e+02    2.842171e-14
         2       46    1.200200e+01    4.646465e-01    1.000000e+02    0.000000e+00
         2       47    1.200200e+01    4.747475e-01    1.000000e+02    4.263256e-14
         2       48    1.200200e+01    4.848485e-01    1.000000e+02    2.842171e-14
         2       49    1.200200e+01    4.949495e-01    1.000000e+02    1.421085e-14
         2       50    1.200200e+01    5.050505e-01    1.000000e+02    1.421085e-14
         2       51    1.200200e+01    5.151515e-01    1.000000e+02    2.842171e-14
         2       52    1.200200e+01    5.252525e-01    1.000000e+02    2.842171e-14
         2       53    1.200200e+01    5.353535e-01    1.000000e+02    4.263256e-14
         2       54    1.200200e+01    5.454545e-01    1.000000e+02    1.421085e-14
         2       55    1.200200e+01    5.555556e-01    1.000000e+02    1.421085e-14
         2       56    1.200200e+01    5.656566e-01    1.000000e+02    2.842171e-14
         2       57    1.200200e+01    5.757576e-01    1.000000e+02    1.421085e-14
         2       58    1.200200e+01    5.858586e-01    1.000000e+02    1.421085e-14
         2       59    1.200200e+01    5.959596e-01    1.000000e+02    1.421085e-14
         2       60    1.200200e+01    6.060606e-01    1.000000e+02    2.842171e-14
