# Giai bai toan bay tu bang RK4
#
#                    t                    x                    y                    z                  v_x                  v_y                  v_z
        1.24991667e+00       4.51404805e-01       3.21109141e-01       1.86960471e-01       4.07899363e-01       3.80549679e-02       1.45154845e-01
        1.25991601e+00       4.55485858e-01       3.21467933e-01       1.88410849e-01       4.08358252e-01       3.37067198e-02       1.44939280e-01
        1.26991534e+00       4.59571278e-01       3.21783201e-01       1.89859044e-01       4.08772893e-01       2.93498351e-02       1.44718034e-01
        1.27991467e+00       4.63660623e-01       3.22054863e-01       1.91304998e-01       4.09143133e-01       2.49847489e-02       1.44491036e-01
        1.28991401e+00       4.67753447e-01       3.22282837e-01       1.92748653e-01       4.09468824e-01       2.06118996e-02       1.44258212e-01
        1.29991334e+00       4.71849305e-01       3.22467049e-01       1.94189950e-01       4.09749823e-01       1.62317284e-02       1.44019489e-01
        1.30991267e+00       4.75947748e-01       3.22607427e-01       1.95628831e-01       4.09985989e-01       1.18446795e-02       1.43774796e-01
        1.31991201e+00       4.80048328e-01       3.22703905e-01       1.97065234e-01       4.10177186e-01       7.45120018e-03       1.43524060e-01
        1.32991134e+00       4.84150594e-01       3.22756421e-01       1.98499100e-01       4.10323279e-01       3.05174042e-03       1.43267210e-01
        1.33991067e+00       4.88254096e-01       3.22764918e-01       1.99930367e-01       4.10424140e-01      -1.35324669e-03       1.43004174e-01
        1.34991001e+00       4.92358379e-01       3.22729341e-01       2.01358972e-01       4.10479643e-01      -5.76330520e-03       1.42734883e-01
        1.35990934e+00       4.96462990e-01       3.22649644e-01       2.02784853e-01       4.10489667e-01      -1.01779763e-02       1.42459264e-01
        1.36990867e+00       5.00567473e-01       3.22525781e-01       2.04207946e-01       4.10454094e-01      -1.45967981e-02       1.42177249e-01
        1.37990801e+00       5.04671372e-01       3.22357715e-01       2.05628187e-01       4.10372810e-01      -1.90193061e-02       1.41888768e-01
        1.38990734e+00       5.08774229e-01       3.22145410e-01       2.07045511e-01       4.10245706e-01      -2.34450327e-02       1.41593753e-01
        1.39990667e+00       5.12875586e-01       3.21888836e-01       2.08459851e-01       4.10072677e-01      -2.78735077e-02       1.41292134e-01
        1.40990601e+00       5.16974983e-01       3.21587969e-01       2.09871143e-01       4.09853621e-01      -3.23042579e-02       1.40983844e-01
        1.41990534e+00       5.21071958e-01       3.21242788e-01       2.11279318e-01       4.09588441e-01      -3.67368072e-02       1.40668817e-01
        1.42990467e+00       5.25166051e-01       3.20853278e-01       2.12684309e-01       4.09277044e-01      -4.11706770e-02       1.40346985e-01
        1.43990401e+00       5.29256799e-01       3.20419427e-01       2.14086048e-01       4.08919343e-01      -4.56053856e-02       1.40018283e-01
        1.44990334e+00       5.33343738e-01       3.19941230e-01       2.15484465e-01       4.08515253e-01      -5.00404489e-02       1.39682644e-01
        1.45990267e+00       5.37426405e-01       3.19418685e-01       2.16879491e-01       4.08064696e-01      -5.44753798e-02       1.39340006e-01
        1.46990201e+00       5.41504333e-01       3.18851797e-01       2.18271056e-01       4.07567595e-01      -5.89096887e-02       1.38990303e-01
        1.47990134e+00       5.45577058e-01       3.18240574e-01       2.19659088e-01       4.07023880e-01      -6.33428831e-02       1.38633473e-01
        1.48990067e+00       5.49644112e-01       3.17585029e-01       2.21043516e-01       4.06433487e-01      -6.77744682e-02       1.38269454e-01
        1.49990001e+00       5.53705030e-01       3.16885182e-01       2.22424268e-01       4.05796354e-01      -7.22039462e-02       1.37898183e-01
        1.50989934e+00       5.57759342e-01       3.16141055e-01       2.23801272e-01       4.05112426e-01      -7.66308171e-02       1.37519600e-01
        1.51989867e+00       5.61806582e-01       3.15352678e-01       2.25174452e-01       4.04381650e-01      -8.10545780e-02       1.37133645e-01
        1.52989801e+00       5.65846280e-01       3.14520084e-01       2.26543737e-01       4.03603980e-01      -8.54747236e-02       1.36740260e-01
        1.53989734e+00       5.69877967e-01       3.13643311e-01       2.27909050e-01       4.02779376e-01      -8.98907464e-02       1.36339384e-01
        1.54989667e+00       5.73901174e-01       3.12722404e-01       2.29270318e-01       4.01907801e-01      -9.43021360e-02       1.35930963e-01
        1.55989601e+00       5.77915431e-01       3.11757411e-01       2.30627463e-01       4.00989223e-01      -9.87083798e-02       1.35514939e-01
        1.56989534e+00       5.81920267e-01       3.10748387e-01       2.31980410e-01       4.00023617e-01      -1.03108963e-01       1.35091256e-01
        1.57989467e+00       5.85915213e-01       3.09695390e-01       2.33329082e-01       3.99010962e-01      -1.07503368e-01       1.34659861e-01
        1.58989401e+00       5.89899797e-01       3.08598485e-01       2.34673402e-01       3.97951242e-01      -1.11891076e-01       1.34220701e-01
        1.59989334e+00       5.93873550e-01       3.07457742e-01       2.36013291e-01       3.96844447e-01      -1.16271564e-01       1.33773722e-01
        1.60989267e+00       5.97836000e-01       3.06273235e-01       2.37348672e-01       3.95690572e-01      -1.20644309e-01       1.33318873e-01
        1.61989201e+00       6.01786677e-01       3.05045044e-01       2.38679465e-01       3.94489619e-01      -1.25008784e-01       1.32856105e-01
        1.62989134e+00       6.05725110e-01       3.03773255e-01       2.40005590e-01       3.93241593e-01      -1.29364462e-01       1.32385369e-01
        1.63989067e+00       6.09650828e-01       3.02457958e-01       2.41326969e-01       3.91946506e-01      -1.33710811e-01       1.31906616e-01
        1.64989001e+00       6.13563361e-01       3.01099250e-01       2.42643520e-01       3.90604377e-01      -1.38047300e-01       1.31419800e-01
        1.65988934e+00       6.17462238e-01       2.99697231e-01       2.43955163e-01       3.89215228e-01      -1.42373394e-01       1.30924875e-01
        1.66988867e+00       6.21346990e-01       2.98252008e-01       2.45261816e-01       3.87779089e-01      -1.46688558e-01       1.30421798e-01
        1.67988801e+00       6.25217146e-01       2.96763694e-01       2.46563397e-01       3.86295994e-01      -1.50992253e-01       1.29910524e-01
        1.68988734e+00       6.29072238e-01       2.95232405e-01       2.47859826e-01       3.84765986e-01      -1.55283939e-01       1.29391013e-01
        1.69988667e+00       6.32911797e-01       2.93658264e-01       2.49151018e-01       3.83189111e-01      -1.59563076e-01       1.28863223e-01
        1.70988601e+00       6.36735353e-01       2.92041399e-01       2.50436890e-01       3.81565421e-01      -1.63829120e-01       1.28327116e-01
        1.71988534e+00       6.40542441e-01       2.90381945e-01       2.51717361e-01       3.79894978e-01      -1.68081526e-01       1.27782654e-01
        1.72988467e+00       6.44332591e-01       2.88680040e-01       2.52992345e-01       3.78177845e-01      -1.72319748e-01       1.27229800e-01
        1.73988401e+00       6.48105338e-01       2.86935829e-01       2.54261759e-01       3.76414094e-01      -1.76543240e-01       1.26668520e-01
        1.74988334e+00       6.51860216e-01       2.85149462e-01       2.55525519e-01       3.74603805e-01      -1.80751451e-01       1.26098780e-01
        1.75988267e+00       6.55596760e-01       2.83321094e-01       2.56783538e-01       3.72747060e-01      -1.84943832e-01       1.25520547e-01
        1.76988201e+00       6.59314506e-01       2.81450886e-01       2.58035734e-01       3.70843952e-01      -1.89119832e-01       1.24933792e-01
        1.77988134e+00       6.63012990e-01       2.79539006e-01       2.59282019e-01       3.68894578e-01      -1.93278897e-01       1.24338484e-01
        1.78988067e+00       6.66691751e-01       2.77585624e-01       2.60522309e-01       3.66899041e-01      -1.97420474e-01       1.23734596e-01
        1.79988001e+00       6.70350328e-01       2.75590920e-01       2.61756517e-01       3.64857452e-01      -2.01544009e-01       1.23122102e-01
        1.80987934e+00       6.73988261e-01       2.73555075e-01       2.62984558e-01       3.62769930e-01      -2.05648945e-01       1.22500978e-01
        1.81987867e+00       6.77605090e-01       2.71478279e-01       2.64206345e-01       3.60636596e-01      -2.09734728e-01       1.21871200e-01
        1.82987801e+00       6.81200360e-01       2.69360726e-01       2.65421791e-01       3.58457584e-01      -2.13800799e-01       1.21232747e-01
        1.83987734e+00       6.84773612e-01       2.67202615e-01       2.66630809e-01       3.56233030e-01      -2.17846601e-01       1.20585600e-01
        1.84987667e+00       6.88324394e-01       2.65004153e-01       2.67833313e-01       3.53963079e-01      -2.21871576e-01       1.19929739e-01
        1.85987601e+00       6.91852251e-01       2.62765551e-01       2.69029215e-01       3.51647883e-01      -2.25875165e-01       1.19265150e-01
        1.86987534e+00       6.95356733e-01       2.60487024e-01       2.70218428e-01       3.49287601e-01      -2.29856810e-01       1.18591817e-01
        1.87987468e+00       6.98837388e-01       2.58168796e-01       2.71400864e-01       3.46882397e-01      -2.33815951e-01       1.17909727e-01
        1.88987401e+00       7.02293769e-01       2.55811094e-01       2.72576436e-01       3.44432446e-01      -2.37752029e-01       1.17218869e-01
        1.89987334e+00       7.05725429e-01       2.53414151e-01       2.73745056e-01       3.41937927e-01      -2.41664484e-01       1.16519233e-01
        1.90987268e+00       7.09131924e-01       2.50978207e-01       2.74906636e-01       3.39399027e-01      -2.45552757e-01       1.15810812e-01
        1.91987201e+00       7.12512810e-01       2.48503506e-01       2.76061088e-01       3.36815941e-01      -2.49416288e-01       1.15093600e-01
        1.92987134e+00       7.15867647e-01       2.45990298e-01       2.77208325e-01       3.34188872e-01      -2.53254520e-01       1.14367592e-01
        1.93987068e+00       7.19195996e-01       2.43438840e-01       2.78348258e-01       3.31518027e-01      -2.57066893e-01       1.13632787e-01
        1.94987001e+00       7.22497420e-01       2.40849391e-01       2.79480800e-01       3.28803624e-01      -2.60852850e-01       1.12889184e-01
        1.95986934e+00       7.25771485e-01       2.38222220e-01       2.80605862e-01       3.26045887e-01      -2.64611832e-01       1.12136784e-01
        1.96986868e+00       7.29017760e-01       2.35557599e-01       2.81723357e-01       3.23245046e-01      -2.68343283e-01       1.11375591e-01
        1.97986801e+00       7.32235813e-01       2.32855806e-01       2.82833196e-01       3.20401343e-01      -2.72046648e-01       1.10605610e-01
        1.98986734e+00       7.35425217e-01       2.30117124e-01       2.83935292e-01       3.17515022e-01      -2.75721371e-01       1.09826848e-01
        1.99986668e+00       7.38585548e-01       2.27341843e-01       2.85029558e-01       3.14586338e-01      -2.79366898e-01       1.09039314e-01
        2.00986601e+00       7.41716384e-01       2.24530258e-01       2.86115904e-01       3.11615553e-01      -2.82982677e-01       1.08243020e-01
        2.01986534e+00       7.44817305e-01       2.21682668e-01       2.87194244e-01       3.08602937e-01      -2.86568157e-01       1.07437978e-01
        2.02986468e+00       7.47887893e-01       2.18799380e-01       2.88264491e-01       3.05548765e-01      -2.90122787e-01       1.06624203e-01
        2.03986401e+00       7.50927735e-01       2.15880704e-01       2.89326557e-01       3.02453324e-01      -2.93646019e-01       1.05801712e-01
        2.04986334e+00       7.53936420e-01       2.12926957e-01       2.90380355e-01       2.99316905e-01      -2.97137307e-01       1.04970525e-01
        2.05986268e+00       7.56913538e-01       2.09938462e-01       2.91425799e-01       2.96139809e-01      -3.00596106e-01       1.04130661e-01
        2.06986201e+00       7.59858686e-01       2.06915546e-01       2.92462801e-01       2.92922344e-01      -3.04021872e-01       1.03282145e-01
        2.07986134e+00       7.62771461e-01       2.03858542e-01       2.93491275e-01       2.89664826e-01      -3.07414066e-01       1.02425001e-01
        2.08986068e+00       7.65651464e-01       2.00767788e-01       2.94511136e-01       2.86367577e-01      -3.10772149e-01       1.01559256e-01
        2.09986001e+00       7.68498300e-01       1.97643629e-01       2.95522297e-01       2.83030930e-01      -3.14095584e-01       1.00684940e-01
        2.10985934e+00       7.71311575e-01       1.94486413e-01       2.96524672e-01       2.79655223e-01      -3.17383838e-01       9.98020835e-02
        2.11985868e+00       7.74090902e-01       1.91296494e-01       2.97518177e-01       2.76240803e-01      -3.20636380e-01       9.89107198e-02
        2.12985801e+00       7.76835895e-01       1.88074233e-01       2.98502726e-01       2.72788025e-01      -3.23852683e-01       9.80108843e-02
