Ket qua tinh toan he phuong trinh sau 198 lan lap:

####################################################################################################

    i             F1              F2              F3              f1              f2              f3              f4              f5               sai_so
  168   -0.000000280 -6339.745961916 -3660.254037665 -8965.754721386  6339.745961704  9999.999999806 -7320.508075378  6339.745961795         5.923903e-08
  169   -0.000000243 -6339.745961947 -3660.254037689 -8965.754721424  6339.745961763  9999.999999832 -7320.508075419  6339.745961842         5.146740e-08
  170   -0.000000211 -6339.745961975 -3660.254037709 -8965.754721458  6339.745961815  9999.999999854 -7320.508075454  6339.745961884         4.471531e-08
  171   -0.000000183 -6339.745961998 -3660.254037727 -8965.754721487  6339.745961859  9999.999999873 -7320.508075485  6339.745961919         3.884816e-08
  172   -0.000000159 -6339.745962019 -3660.254037742 -8965.754721513  6339.745961898  9999.999999890 -7320.508075512  6339.745961950         3.375135e-08
  173   -0.000000139 -6339.745962037 -3660.254037756 -8965.754721535  6339.745961932  9999.999999904 -7320.508075535  6339.745961977         2.932393e-08
  174   -0.000000120 -6339.745962052 -3660.254037767 -8965.754721554  6339.745961961  9999.999999917 -7320.508075555  6339.745962001         2.547677e-08
  175   -0.000000105 -6339.745962066 -3660.254037778 -8965.754721570  6339.745961987  9999.999999928 -7320.508075573  6339.745962021         2.213528e-08
  176   -0.000000091 -6339.745962078 -3660.254037786 -8965.754721585  6339.745962009  9999.999999937 -7320.508075588  6339.745962039         1.923036e-08
  177   -0.000000079 -6339.745962088 -3660.254037794 -8965.754721597  6339.745962028  9999.999999945 -7320.508075601  6339.745962054         1.670742e-08
  178   -0.000000069 -6339.745962097 -3660.254037801 -8965.754721608  6339.745962045  9999.999999953 -7320.508075613  6339.745962067         1.451554e-08
  179   -0.000000060 -6339.745962105 -3660.254037806 -8965.754721618  6339.745962059  9999.999999959 -7320.508075623  6339.745962079         1.261105e-08
  180   -0.000000052 -6339.745962111 -3660.254037811 -8965.754721626  6339.745962072  9999.999999964 -7320.508075631  6339.745962089         1.095759e-08
  181   -0.000000045 -6339.745962117 -3660.254037816 -8965.754721633  6339.745962083  9999.999999969 -7320.508075639  6339.745962098         9.519681e-09
  182   -0.000000039 -6339.745962122 -3660.254037819 -8965.754721639  6339.745962093  9999.999999973 -7320.508075645  6339.745962105         8.270945e-09
  183   -0.000000034 -6339.745962127 -3660.254037823 -8965.754721645  6339.745962101  9999.999999977 -7320.508075651  6339.745962112         7.185008e-09
  184   -0.000000029 -6339.745962130 -3660.254037826 -8965.754721649  6339.745962108  9999.999999980 -7320.508075656  6339.745962118         6.242772e-09
  185   -0.000000026 -6339.745962134 -3660.254037828 -8965.754721654  6339.745962114  9999.999999982 -7320.508075660  6339.745962123         5.423317e-09
  186   -0.000000022 -6339.745962137 -3660.254037830 -8965.754721657  6339.745962120  9999.999999985 -7320.508075664  6339.745962127         4.711183e-09
  187   -0.000000019 -6339.745962139 -3660.254037832 -8965.754721660  6339.745962124  9999.999999987 -7320.508075667  6339.745962131         4.094545e-09
  188   -0.000000017 -6339.745962141 -3660.254037834 -8965.754721663  6339.745962129  9999.999999988 -7320.508075670  6339.745962134         3.557034e-09
  189   -0.000000015 -6339.745962143 -3660.254037835 -8965.754721665  6339.745962132  9999.999999990 -7320.508075673  6339.745962137         3.091372e-09
  190   -0.000000013 -6339.745962145 -3660.254037836 -8965.754721667  6339.745962135  9999.999999991 -7320.508075675  6339.745962139         2.684828e-09
  191   -0.000000011 -6339.745962146 -3660.254037837 -8965.754721669  6339.745962138  9999.999999992 -7320.508075677  6339.745962141         2.333763e-09
  192   -0.000000010 -6339.745962147 -3660.254037838 -8965.754721670  6339.745962140  9999.999999993 -7320.508075678  6339.745962143         2.026354e-09
  193   -0.000000008 -6339.745962148 -3660.254037839 -8965.754721672  6339.745962142  9999.999999994 -7320.508075680  6339.745962145         1.760782e-09
