Ket qua tinh toan he phuong trinh sau 999 lan lap:

####################################################################################################

    i             F1              F2              f5              F3              f2              f3              f1              f4               sai_so
   70   -0.000000000 -61042721656068751360.000000000 61042721656068743168.000000000 149523520568108941312.000000000 -105729095340596051968.000000000 10000.000000000 -211458190681192136704.000000000 183128164968206237696.000000000         5.777145e+20
   71   -0.000000000 105729095340596051968.000000000 -105729095340596068352.000000000 -258982334550534750208.000000000 183128164968206237696.000000000 10000.000000000 366256329936412475392.000000000 -317187286021788205056.000000000         1.000631e+21
   72   -0.000000000 -183128164968206237696.000000000 183128164968206237696.000000000 448570561704326856704.000000000 -317187286021788205056.000000000 10000.000000000 -634374572043576410112.000000000 549384494904618713088.000000000         1.733144e+21
   73   -0.000000000 317187286021788205056.000000000 -317187286021788205056.000000000 -776947003651604217856.000000000 549384494904618713088.000000000 10000.000000000 1098768989809237426176.000000000 -951561858065364549632.000000000         3.001893e+21
   74   -0.000000000 -549384494904618713088.000000000 549384494904618713088.000000000 1345711685112980570112.000000000 -951561858065364549632.000000000 10000.000000000 -1903123716130729099264.000000000 1648153484713856073728.000000000         5.199431e+21
   75   -0.000000000 951561858065364549632.000000000 -951561858065364549632.000000000 -2330841010954812522496.000000000 1648153484713856073728.000000000 10000.000000000 3296306969427712147456.000000000 -2854685574196093255680.000000000         9.005678e+21
   76   -0.000000000 -1648153484713856073728.000000000 1648153484713856073728.000000000 4037135055338941186048.000000000 -2854685574196093255680.000000000 10000.000000000 -5709371148392186511360.000000000 4944460454141567696896.000000000         1.559829e+22
   77   -0.000000000 2854685574196093255680.000000000 -2854685574196093255680.000000000 -6992523032864437043200.000000000 4944460454141567696896.000000000 10000.000000000 9888920908283135393792.000000000 -8564056722588279242752.000000000         2.701703e+22
   78   -0.000000000 -4944460454141567696896.000000000 4944460454141567696896.000000000 12111405166016822509568.000000000 -8564056722588279242752.000000000 10000.000000000 -17128113445176558485504.000000000 14833381362424700993536.000000000         4.679488e+22
   79   -0.000000000 8564056722588279242752.000000000 -8564056722588279242752.000000000 -20977569098593309032448.000000000 14833381362424700993536.000000000 10000.000000000 29666762724849401987072.000000000 -25692170167764836679680.000000000         8.105110e+22
   80   -0.000000000 -14833381362424700993536.000000000 14833381362424700993536.000000000 36334215498050465431552.000000000 -25692170167764836679680.000000000 10000.000000000 -51384340335529673359360.000000000 44500144087274096689152.000000000         1.403846e+23
   81   -0.000000000 25692170167764836679680.000000000 -25692170167764836679680.000000000 -62932707295779918708736.000000000 44500144087274096689152.000000000 10000.000000000 89000288174548193378304.000000000 -77076510503294497456128.000000000         2.431533e+23
   82   -0.000000000 -44500144087274096689152.000000000 44500144087274096689152.000000000 109002646494151375323136.000000000 -77076510503294497456128.000000000 10000.000000000 -154153021006588994912256.000000000 133500432261822273290240.000000000         4.211539e+23
   83   -0.000000000 77076510503294497456128.000000000 -77076510503294497456128.000000000 -188798121887339722571776.000000000 133500432261822273290240.000000000 10000.000000000 267000864523644546580480.000000000 -231229531509883442036736.000000000         7.294599e+23
   84   -0.000000000 -133500432261822273290240.000000000 133500432261822273290240.000000000 327007939482454042083328.000000000 -231229531509883442036736.000000000 10000.000000000 -462459063019766816964608.000000000 400501296785466668875776.000000000         1.263462e+24
   85-33554432.000000000 231229531509883408482304.000000000 -231229531509883408482304.000000000 -566394365662018999943168.000000000 400501296785466668875776.000000000 10000.000000000 801002593570933337751552.000000000 -693688594529650124783616.000000000         2.188380e+24
   86   -0.000000000 -400501296785466668875776.000000000 400501296785466668875776.000000000 981023818447361924923392.000000000 -693688594529650124783616.000000000 10000.000000000 -1387377189059300249567232.000000000 1201503890356399939518464.000000000         3.790385e+24
   87   -0.000000000 693688594529650124783616.000000000 -693688594529650124783616.000000000 -1699183096986056798502912.000000000 1201503890356399939518464.000000000 10000.000000000 2403007780712799879036928.000000000 -2081065783588950105915392.000000000         6.565139e+24
   88   -0.000000000 -1201503890356399939518464.000000000 1201503890356399939518464.000000000 2943071455342085103681536.000000000 -2081065783588950105915392.000000000 10000.000000000 -4162131567177899674959872.000000000 3604511671069198744813568.000000000         1.137115e+25
   89-268435456.000000000 2081065783588949837479936.000000000 -2081065783588949837479936.000000000 -5097549290958169053331456.000000000 3604511671069198744813568.000000000 10000.000000000 7209023342138397489627136.000000000 -6243197350766848438697984.000000000         1.969542e+25
