# Bai toan truyen song 1D 
# Phuong phap sai phan huu han hien
# Ghi lai vi tri va bien do cua dinh song tai moi thoi diem
#

####################################################################################################
#           t (s)  x_dinh_song_num (m)       u_dinh_song_num (m)      x_dinh_song_anal (m)      u_dinh_song_anal (m)
   1.70000000e-02       2.81690141e-01           -8.93385591e-01            2.74647887e-01           -9.04197977e-01
   1.71000000e-02       2.81690141e-01           -8.85495591e-01            2.81690141e-01           -8.96601754e-01
   1.72000000e-02       2.88732394e-01           -8.78395783e-01            2.88732394e-01           -8.88653954e-01
   1.73000000e-02       2.95774648e-01           -8.69041628e-01            2.95774648e-01           -8.80431493e-01
   1.74000000e-02       3.02816901e-01           -8.62164757e-01            3.02816901e-01           -8.71943132e-01
   1.75000000e-02       3.09859155e-01           -8.53192496e-01            3.09859155e-01           -8.63215005e-01
   1.76000000e-02       3.16901408e-01           -8.45520559e-01            3.16901408e-01           -8.54353610e-01
   1.77000000e-02       3.23943662e-01           -8.38123919e-01            3.16901408e-01           -8.46426312e-01
   1.78000000e-02       3.23943662e-01           -8.29214608e-01            3.23943662e-01           -8.39629831e-01
   1.79000000e-02       3.30985915e-01           -8.22035537e-01            3.30985915e-01           -8.32581204e-01
   1.80000000e-02       3.38028169e-01           -8.13202632e-01            3.38028169e-01           -8.25218023e-01
   1.81000000e-02       3.45070423e-01           -8.05861181e-01            3.45070423e-01           -8.17553080e-01
   1.82000000e-02       3.52112676e-01           -7.98085455e-01            3.52112676e-01           -8.09572254e-01
   1.83000000e-02       3.59154930e-01           -7.89628484e-01            3.59154930e-01           -8.01278728e-01
   1.84000000e-02       3.66197183e-01           -7.82361037e-01            3.66197183e-01           -7.92740963e-01
   1.85000000e-02       3.73239437e-01           -7.74337615e-01            3.73239437e-01           -7.83998881e-01
   1.86000000e-02       3.80281690e-01           -7.65326848e-01            3.80281690e-01           -7.75099606e-01
   1.87000000e-02       3.87323944e-01           -7.57583890e-01            3.80281690e-01           -7.67604011e-01
   1.88000000e-02       3.94366197e-01           -7.50068748e-01            3.87323944e-01           -7.60751347e-01
   1.89000000e-02       3.94366197e-01           -7.41380987e-01            3.94366197e-01           -7.53644559e-01
   1.90000000e-02       4.01408451e-01           -7.34216568e-01            4.01408451e-01           -7.46238802e-01
   1.91000000e-02       4.08450704e-01           -7.26119914e-01            4.08450704e-01           -7.38502448e-01
